am am7 d7 a# a# em g+ em c em
e e e am am am am dm am am
c b°7 am am g#°7 f e7 dm e7 am
am g g g g g g d b7 em
c c c f dm7 dm7 c dm e7 am
am bø7 g#°7 am am am am am7 bø7 bø7
e7 am am f#° dm a a a7 a7 a7
am7 e e e a a a am am c7+
f#ø7 g g7 c c c c f f c
c am dm dm e7 am am am f7+ am
am a am dm e7 f c g d7 g
g e e b° em em em7 c c g
g c c e7 am am am am am am
am am am em em am7 f#° g a7 e
a7 a7 e e e e e a a a
a dm am f em g c c f em
c g g7 c dm e7 am am g em
e e c c d d d7 g g a7
g+ em em c c am b° g c c
c f f f e e e e7 b°7 dm
am am am7 b7 em em d dm f e
a7 a7 e a a e e e e a
e bø7 a 
